category,location,old,new
Instance property value,01 — Director / Feedback + Chat:I93:10488;4007:2031:prompt-selector/Type,selector,Selector
Node,01 — Director / Feedback + Chat:I93:10488;4007:2031;73:1190:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/feedback-panel/content-left/prompt-selector/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:10488;4007:2031;73:1190:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10488;4007:2031;73:1190:UI / Icon/Icon,chevron-down,Chevron Down
Node,01 — Director / Feedback + Chat:I93:10488;73:878:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/feedback-panel/content-left/action-bar/Button,Button,UI / Button
Instance property,01 — Director / Feedback + Chat:I93:10488;47:623:Form / Field,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:10488;47:623:Form / Field/Type,textarea-skyline,Textarea Skyline
Instance property,01 — Director / Feedback + Chat:I93:10489;48:822;73:1465:Chat / Toolbar,Icon Type,Icon
Instance property,01 — Director / Feedback + Chat:I93:10489;48:822;73:1466:Chat / Toolbar,Icon Type,Icon
Instance property,01 — Director / Feedback + Chat:I93:10489;48:822;73:1467:Chat / Toolbar,Icon Type,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10489;48:822;73:1467:Chat / Toolbar/Icon,Reresh,Refresh
Instance property,01 — Director / Feedback + Chat:I93:10489;48:822;73:1499:Chat / Toolbar,Icon Type,Icon
Instance property,01 — Director / Feedback + Chat:I93:10489;48:822;73:1500:Chat / Toolbar,Icon Type,Icon
Instance property,01 — Director / Feedback + Chat:I93:10489;48:822;73:1501:Chat / Toolbar,Icon Type,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10489;48:822;73:1501:Chat / Toolbar/Icon,Reresh,Refresh
Instance property,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1572:add-files,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1572:add-files/Icon,plus,Plus
Node,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1574;73:1550:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/prompt-section/Prompt / Editor/prompt-textarea-group/prompt-metadata-bar/Prompt / Model Selector/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1574;73:1550:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1574;73:1550:UI / Icon/Icon,chevron-down,Chevron Down
Instance property,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1694:enter-button,state,State
Node,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1694;73:1199:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/prompt-section/Prompt / Editor/prompt-textarea-group/prompt-metadata-bar/enter-button/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1694;73:1199:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10489;4002:1699;4002:1694;73:1199:UI / Icon/Icon,arrow-up,Arrow Up
Node,01 — Director / Feedback + Chat:93:10491:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/save-button/Button,Button,UI / Button
Node,01 — Director / Feedback + Chat:93:11965:01 — Director / Feedback + Chat/Director / New Feedback/sidebar/Sidebar / Sidebar,Sidebar / Sidebar,Navigation / Sidebar
Node,01 — Director / Feedback + Chat:I93:11965;14:679:01 — Director / Feedback + Chat/Director / New Feedback/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:11965;14:679:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:679:Navigation / Item/State,active,Active
Instance property,01 — Director / Feedback + Chat:I93:11965;14:679:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:679:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:11965;14:682:01 — Director / Feedback + Chat/Director / New Feedback/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:11965;14:682:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:682:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:11965;14:682:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:682:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:11965;14:684:01 — Director / Feedback + Chat/Director / New Feedback/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:11965;14:684:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:684:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:11965;14:684:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:684:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:11965;14:686:01 — Director / Feedback + Chat/Director / New Feedback/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:11965;14:686:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:686:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:11965;14:686:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:686:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:11965;14:688:01 — Director / Feedback + Chat/Director / New Feedback/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:11965;14:688:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:688:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:11965;14:688:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:688:Navigation / Item/Size,large,Large
Node,01 — Director / Feedback + Chat:I93:11965;14:697:01 — Director / Feedback + Chat/Director / New Feedback/sidebar/Navigation / Sidebar/Sidebar / Nav Item,Sidebar / Nav Item,Navigation / Item
Instance property,01 — Director / Feedback + Chat:I93:11965;14:697:Navigation / Item,state,State
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:697:Navigation / Item/State,disabled,Disabled
Instance property,01 — Director / Feedback + Chat:I93:11965;14:697:Navigation / Item,size,Size
Instance property value,01 — Director / Feedback + Chat:I93:11965;14:697:Navigation / Item/Size,large,Large
Instance property value,01 — Director / Feedback + Chat:4002:1330:topbar/Module,model only,Model Only
Node,01 — Director / Feedback + Chat:I4002:1330;4010:4232:01 — Director / Feedback + Chat/Director / New Feedback/main/content/topbar/Model Bar,Model Bar,UI / Model Bar
Instance property value,01 — Director / Feedback + Chat:I4002:1330;4010:4232;73:1125:UI / Status Badge/Status,active,Active
Instance property,01 — Director / Feedback + Chat:4001:1979:header,type,Type
Node,01 — Director / Feedback + Chat:93:11971:01 — Director / Feedback + Chat/Director / New Feedback/main/content/Group 1,Group 1,feedback-layout
Node,01 — Director / Feedback + Chat:93:11973:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Director / Feedback Panel,Director / Feedback Panel,Feedback / Panel
Instance property value,01 — Director / Feedback + Chat:93:11973:Feedback / Panel/Module,section-imprint,Feedback
Node,01 — Director / Feedback + Chat:I93:11973;77:4016:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/section-imprint,section-imprint,feedback-panel
Node,01 — Director / Feedback + Chat:I93:11973;77:4016;74:1861:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/feedback-panel/content-left/Director / File Box,Director / File Box,Feedback / File
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;47:590:photography-input,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;47:590:photography-input/Type,selector,Selector
Node,01 — Director / Feedback + Chat:I93:11973;77:4016;47:590;73:1190:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/feedback-panel/content-left/photography-input/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;47:590;73:1190:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;47:590;73:1190:UI / Icon/Icon,chevron-down,Chevron Down
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;47:593:prompt-selector,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;47:593:prompt-selector/Type,selector,Selector
Node,01 — Director / Feedback + Chat:I93:11973;77:4016;47:593;73:1190:01 — Director / Feedback + Chat/Director / New Feedback/main/content/feedback-layout/Feedback / Panel/feedback-panel/content-left/prompt-selector/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;47:593;73:1190:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;47:593;73:1190:UI / Icon/Icon,chevron-down,Chevron Down
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;47:594:prompt-textarea,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;47:594:prompt-textarea/Type,textarea,Textarea
Instance property,01 — Director / Feedback + Chat:I93:11973;77:4016;4007:2031:prompt-selector,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:11973;77:4016;4007:2031:prompt-selector/Type,selector,Selector
